AGE,SEX,MentalForamenHeight,MolarHeight,MentalForamenBreadth,CanineBreadth,MolarBreadth, RamusHeight,MandibularRobusticityIndex
MIDAGED,FEMALE,27,24,13,10,15,32,48.14
YGADULT,MALE,34,29,11,10,16,34,32.35
MIDAGED,FEMALE,29,25,10,10,13,33,34.48
OLD,FEMALE,26,23,11,10,12,34,42.3
MIDAGED,FEMALE,36,32,12,11,15,31,33.33
MIDAGED,FEMALE,27,27,11,11,16,34,40.74
MIDAGED,MALE,31,27,11,11,14,29,35.48
MIDAGED,MALE,29,28,12,11,14,35,41.37
YGADULT,FEMALE,32,29,13,11,16,36,40.62
YGADULT,FEMALE,30,27,13,12,16,34,43.33
MIDAGED,FEMALE,31,25,12,12,18,32,38.7
YGADULT,FEMALE,30,27,12,12,13,32,40.0
MIDAGED,MALE,34,31,12,12,15,31,35.29
MIDAGED,MALE,32,29,13,12,14,33,40.62
MIDAGED,MALE,34,30,15,12,17,36,44.11
MIDAGED,MALE,33,32,12,12,14,35,36.36
MIDAGED,MALE,35,33,12,13,15,33,34.28
MIDAGED,MALE,31,32,13,13,15,33,41.93
MIDAGED,FEMALE,34,30,12,13,18,30,35.29
MIDAGED,FEMALE,35,32,15,13,16,35,42.85
MIDAGED,MALE,30,29,13,13,16,37,43.33
YGADULT,FEMALE,32,30,13,13,18,36,40.62
YGADULT,MALE,36,31,15,13,17,33,41.66
MIDAGED,FEMALE,33,29,14,13,17,34,42.42
MIDAGED,FEMALE,31,27,12,13,15,33,38.7
YGADULT,FEMALE,30,29,12,13,15,35,40.0
YGADULT,MALE,34,32,13,13,14,36,38.23
MIDAGED,FEMALE,32,26,14,13,15,30,43.75
MIDAGED,FEMALE,32,28,13,13,15,36,40.62
OLD,MALE,37,29,13,13,16,37,35.13
MIDAGED,MALE,33,32,15,14,18,35,45.45
MIDAGED,MALE,33,28,15,14,19,37,45.45
MIDAGED,MALE,39,35,14,14,19,43,35.89
YGADULT,FEMALE,32,29,14,14,20,35,43.75
MIDAGED,MALE,34,35,14,15,17,36,41.17
YGADULT,FEMALE,26,27,15,16,17,37,57.69
